Price,Close,High,Low,Open,Volume
Ticker,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA
Date,,,,,
2020-04-08,26.837434768676758,27.293875760188712,26.553702387628235,26.8312676964567,29464500
2020-04-09,26.69557762145996,27.42958417045006,26.42418164586062,27.108842188588792,29827800
2020-04-13,27.491260528564453,27.491260528564453,26.510531142552654,26.646230288084716,22066800
2020-04-14,27.466590881347656,28.37330373180716,27.44808730576997,28.13891491171923,24713600
2020-04-15,26.640060424804688,27.077997927399938,26.282311346468912,26.83127264010534,28808700
2020-04-16,26.374832153320312,27.133511605157597,25.93072992040073,27.016316032250213,24442900
2020-04-17,27.139678955078125,27.28154517635333,26.658567217453808,27.077998807722576,23604600
2020-04-20,26.189796447753906,26.683244813951262,26.04793018953138,26.683244813951262,29050700
2020-04-22,26.461183547973633,26.67089930843905,25.93689297033689,26.276138430603954,22693600
2020-04-23,26.837434768676758,27.565271643850828,26.40566912488391,26.701738003318845,27171100
2020-04-24,26.991640090942383,27.263038354038965,25.801197388796666,26.751084250795152,55165900
2020-04-27,27.47892189025879,27.787327303960787,27.053323266410796,27.423408821674567,25580600
2020-04-28,27.51593017578125,27.935361708189365,26.818933312669753,27.87984864204869,25680000
2020-04-29,28.823570251464844,29.224498238373904,27.657798141120196,27.972370634012155,33207500
2020-04-30,27.670137405395508,28.47815818011341,27.60845490350496,28.194425730257457,25720300
2020-05-04,27.09650230407715,27.34322759868943,26.769593288720646,26.954636083206463,16994300
2020-05-05,26.954635620117188,27.774992857657466,26.954635620117188,27.41724377485737,19070600
2020-05-06,27.343223571777344,27.608450047946743,26.899119048058452,27.256868084318103,26602700
2020-05-07,28.404136657714844,28.97777088567527,28.03405112165168,28.14507725305992,42194300
2020-05-08,30.131208419799805,30.199057988281655,28.971605741380127,29.298514731760008,33922800
2020-05-11,29.44038200378418,30.377934791374102,29.44038200378418,29.736450933610467,24783100
2020-05-12,29.273841857910156,29.977005837987026,29.273841857910156,29.87214912475823,21806900
2020-05-13,29.940004348754883,30.334762983857114,29.39721004901578,29.711782601066915,34159500
2020-05-14,29.662429809570312,29.890649134000014,28.95309648800562,29.576076678864283,35513400
2020-05-15,29.63776206970215,30.408775663362178,29.63776206970215,30.0325206531846,35196100
2020-05-18,31.617717742919922,31.827433490268238,30.809697173123453,31.05025298712229,41936200
2020-05-19,32.25920486450195,32.51209720226531,31.512864349754807,31.64239405503558,27704400
2020-05-20,32.382572174072266,33.104239795965675,32.382572174072266,32.919196996988916,27014500
